ts_code,index_code,index_name,effective_from,effective_to,evidence_url,evidence_type,change_type,notes
512850.SH,931023.CSI,中证北京50指数,20181109,20210219,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/931023factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; distinct from BSE 50
159962.SZ,930738.CSI,中证四川国企改革指数,20190418,20221109,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/930738factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512790.SH,000939.CSI,中证民企成长指数,20190906,20200731,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000939factsheet.pdf,reviewed_official_index_mapping,initial_identity,primary CSI code; 399939.SZ is exchange alias
159990.SZ,399377.SZ,巨潮小盘价值指数,20200120,20240717,https://www.cnindex.com.cn/html2pdf/preview/jj_399377.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
515670.SH,000903.SH,中证100指数,20200520,20240628,http://www.sse.com.cn/disclosure/fund/announcement/c/new/2023-08-17/515670_20230817_29R4.pdf,reviewed_official_index_mapping,initial_identity,index renamed after ETF termination
159789.SZ,H30205.CSI,中证饮料主题指数,20211220,20231025,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/H30205factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510220.SH,000046.SH,上证中小盘指数,20110328,20221227,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000046factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510280.SH,000028.SH,上证180成长指数,20111018,20190930,http://www.sse.com.cn/disclosure/fund/announcement/c/2018-09-13/510280_20180914_2.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510440.SH,000802.SH,中证500沪市指数,20121008,20221222,http://www.sse.com.cn/disclosure/fund/announcement/c/new/2021-10-27/510440_20211027_1_QNdf8sTi.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510700.SH,000155.SH,上证市值百强指数,20130531,20151014,https://pic.bankofchina.com/bocappd/agreement/201304/P020130401431176993017.pdf,reviewed_official_index_mapping,initial_identity,source benchmark uses alias 上证市值100
512110.SH,000816.CSI,中证细分房地产产业主题指数,20140106,20170113,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000816factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512340.SH,H30251.CSI,中证500原材料指数,20150515,20210416,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/1000_H30255_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,primary code; 000854.SH is exchange alias
159953.SZ,000988.CSI,中证全指工业指数,20170714,20201217,https://docs.static.szse.cn/www/market/periodical/month/W020200121333627926584.html,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512920.SH,704843.MI,MSCI中国A股国际指数,20181207,20230208,https://www.msci.com/indexes/index/704843,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510890.SH,H50040.CSI,上证红利低波动指数,20190624,20210907,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/1210_H50040_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
515520.SH,718465.MI,MSCI中国A股质优价值100指数,20191118,20230613,https://www.msci.com/eqb/methodology/meth_docs/MSCI_China_A_Custom_Quality_Value_100_Index_May2022.pdf,reviewed_official_index_mapping,initial_identity,MSCI page removed; historical ID cross-checked
515570.SH,H30089.CSI,中证红利潜力指数,20200409,20231218,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180030-H30089_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159815.SZ,931163.CSI,中证浙江100指数,20200818,20230428,https://docs.static.szse.cn/www/market/periodical/month/W020210805367164412600.html,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
561150.SH,931648.CSI,中证500ESG基准指数,20220808,20221227,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/931648factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510120.SH,000064.SH,上证非周期行业100指数,20110608,20230811,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000063_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159917.SZ,399602.SZ,中小板300成长指数,20120406,20150827,https://pdf.dfcfw.com/pdf/H2_AN201203290005089614_1.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; P is price index suffix
159921.SZ,399634.SZ,中小板等权重指数,20130131,20171108,https://www.cnindex.com.cn/docs/gz_399634.pdf,reviewed_official_index_mapping,initial_identity,later rename occurred after ETF termination
159924.SZ,000984.CSI,沪深300等权重指数,20130605,20180320,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000984factsheet.pdf,reviewed_official_index_mapping,initial_identity,primary CSI code; 399984.SZ is exchange alias
512210.SH,H30020.CSI,中证800食品饮料指数,20140819,20180831,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/000928_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
159942.SZ,399612.SZ,中小企业板创业板100指数,20150625,20181106,https://www.cnindex.com.cn/docs/gz_399612.pdf,reviewed_official_index_mapping,initial_identity,399611 is total return variant
512780.SH,930701.CSI,中证京津冀协同发展主题指数,20180524,20230112,http://static.cninfo.com.cn/finalpage/2022-03-31/1212739051.PDF,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512590.SH,930838.CSI,中证高股息精选指数,20190308,20230428,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/20231208180211-930838_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
510820.SH,950082.CSI,上证上海改革发展主题指数,20190709,20190820,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/950082factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
515870.SH,931167.CSI,中证先进制造100策略指数,20200117,20230316,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/931167_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
515510.SH,930938.CSI,中证500成长估值指数,20200506,20230508,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/1450_930938_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
512350.SH,930703.CSI,中证福建50指数,20200910,20220317,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/930703factsheet.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
560960.SH,931772.CSI,中证碳中和60指数,20230113,20250626,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/detail/files/zh_CN/931772_Index_Methodology_cn.pdf,reviewed_official_index_mapping,initial_identity,verified mapping; no real index replacement found
